id,id_long,WIGOS,short_name,location,radar_type,postchange_start,prechange_end,site_lat,site_lon,ge_ground_altitude,site_alt,status,band,doppler,dp,eth_dhz_threshold,beamwidth,state,notes
38,038_1,0-20000-0-94510,Charleville,Charleville,WF100C,9/12/1999,1/10/2006,-26.4139,146.2558,306,316,OK,C,,,18,2,QLD,
38,038_2,,Ndegate,Newdegate,Wur2502C-8,1/10/2016,-,-33.097,119.0087,327,340.016,OK,C,Yes,,0,1.7,WA,
39,039_1,0-20000-0-94212,HallsCk,Halls Creek,WF100-5C,26/03/2008,13/06/2022,-18.2289,127.6628,427,439.374,OK,C,,,18,1.7,NT,
39,039_2,0-20000-0-94212,HallsCk,Halls Creek,Wur2502C-8,4/08/2022,-,-18.2289,127.6628,427,439.374,OK,C,Yes,,18,1.7,NT,
40,040_1,0-20000-0-07034,CapFlat,Canberra (Captains Flat),DWSR74S14-13,16/01/1998,12/05/2013,-35.6614,149.5122,1365,1382.76,OK,S,,,18,1.9,ACT,
40,040_2,0-20000-0-07034,CapFlat,Canberra (Captains Flat),DWSR74S14-13,17/05/2013,-,-35.6614,149.5122,1365,1382.76,OK,S,Yes,,0,1.9,ACT,
41,041_1,0-20000-0-94299,Willis,Willis Island,WF100,11/12/1998,1/11/2006,-16.2874,149.9646,1,20.356,OK,C,,,18,1.7,QLD,
41,041_2,0-20000-0-94299,Willis,Willis Island,WF100,2/11/2006,16/11/2011,-16.2874,149.9646,1,20.356,OK,C,,,18,1.7,QLD,
41,041_3,0-20000-0-94299,Willis,Willis Island,Wur2502C-8,17/11/2011,7/11/2022,-16.2874,149.9646,1,20.356,OK,C,,,18,1.7,QLD,
41,041_4,0-20000-0-94299,Willis,Willis Island,Wur2502C-8,8/11/2022,-,-16.2874,149.9646,1,20.356,OK,C,Yes,,18,1.7,QLD,
42,042_1,0-20000-0-99131,Tindal,Katherine (Tindal),WSR81C-8,15/10/2003,-,-14.5124,132.4431,205,225,CHECK,C,,,18,1.7,NT,
43,043_1,0-20000-0-94578,BrisAP,Brisbane Airport,WF100C,4/11/1999,26/01/2009,-27.3915,153.13,6,12,OK,C,,,18,3,QLD,airport radar
44,044_1,0-20000-0-94461,Giles,Giles,WF100C-6,15/10/2003,-,-25.0332,128.3017,599,607.374,OK,C,,,18,2,NT,
45,045_1,0-20000-0-94647,Eucla,Eucla,WF100C,14/05/2003,12/12/2012,-31.6792,128.895,101,108,OK,C,,,18,1.7,SA,
46,046_1,0-20000-0-95679,Sellick,Adelaide (Sellicks Hill),WSR81C-8,13/12/1993,-,-35.3295,138.5024,387,395.074,OK,C,,,18,1.7,SA,
